text,labels
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0
My sashimi was poor quality being soggy and tasteless.,0
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0
I could eat their bruschetta all day it is devine.,1
- the food is rich so order accordingly.,1
The ambience is wonderful and there is music playing.,1
"Probably never coming back, and wouldn't recommend it.",0
We recently witnessed her poor quality of management towards other guests as well.,0
Service was good and the company was better!,1
"Good food , good service .",1
It wasn't busy at all and now we know why.,0
After all the rave reviews I couldn't wait to eat here......what a disappointment!,0
Everything was gross.,0
"On a positive note, our server was very attentive and provided great service.",1
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0
Much better than the other AYCE sushi place I went to in Vegas.,1
I've never been treated so bad.,0
Must have been an off night at this place.,0
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1
He was terrible!,0
Appetite instantly gone.,0
I don't recommend unless your car breaks down in front of it and you are starving.,0
first time there and might just be the last.,0
I won't be back.,0
"In an interesting part of town, this place is amazing.",1
Today is the second time I've been to their lunch buffet and it was pretty good.,1
WAAAAAAyyyyyyyyyy over rated is all I am saying.,0
Ample portions and good prices.,1
We'd definitely go back here again.,1
Awesome service and food.,1
After two I felt disgusting.,0
"I'm so happy to be here!!!""",1
Gave up trying to eat any of the crust (teeth still sore).,0
The chicken wings contained the driest chicken meat I have ever eaten.,0
The pizza selections are good.,1
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1
I had a pretty satifying experience.,1
Great pork sandwich.,1
This is one of the better buffets that I have been to.,1
We had 7 at our table and the service was pretty fast.,1
"The food, amazing.",1
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
Terrible service!,0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0
The ambiance isn't much better.,0
"However, my recent experience at this particular location was not so good.",0
But I definitely would not eat here again.,0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
Ordered burger rare came in we'll done.,0
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1
"Everyone is very attentive, providing excellent customer service.",1
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1
Would come back again if I had a sushi craving while in Vegas.,1
The roast beef sandwich tasted really good!,1
I can assure you that you won't be disappointed.,1
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
"It was a bit too sweet, not really spicy enough, and lacked flavor.",0
will definitely be back!,1
The block was amazing.,1
If you want a sandwich just go to any Firehouse!!!!!,1
The chefs were friendly and did a good job.,1
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0
A good time!,1
"The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again.",0
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1
Not tasty and the texture was just nasty.,0
It's NOT hard to make a decent hamburger.,0
The service was outshining & I definitely recommend the Halibut.,1
"I had strawberry tea, which was good.",1
I would not recommend this place.,0
AVOID THIS ESTABLISHMENT!,0
It's worth driving up from Tucson!,1
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1
"I probably won't be back, to be honest.",0
Waitress was good though!,1
I got food poisoning here at the buffet.,0
very tough and very short on flavor!,0
"All in all, Ha Long Bay was a bit of a flop.",0
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1
"Great atmosphere, friendly and fast service.",1
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0
At least think to refill my water before I struggle to wave you over for 10 minutes.,0
"Of all the dishes, the salmon was the best, but all were great.",1
I'm not eating here!,0
Best fish I've ever had in my life!,1
What I really like there is the crepe station.,1
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0
"I started this review with two stars, but I'm editing it to give it only one.",0
There was hardly any meat.,0
"Went in for happy hour, great list of wines.",1
We've tried to like this place but after 10+ times I think we're done with them.,0
I liked the patio and the service was outstanding.,1
TOTAL WASTE OF TIME.,0
"And the drinks are WEAK, people!",0
The selection of food was not the best.,0
Bland and flavorless is a good way of describing the barely tepid meat.,0
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0
We asked for the bill to leave without eating and they didn't bring that either.,0
Great food and awesome service!,1
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
Never again will I be dining at this place!,0
"Will never, ever go back.",0
It was absolutely amazing.,1
My boyfriend and i sat at the bar and had a completely delightful experience.,1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
I will never go back to this place and will never ever recommended this place to anyone!,0
If you stay in Vegas you must get breakfast here at least once.,1
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1
I think food should have flavor and texture and both were lacking.,0
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0
It's too bad the food is so damn generic.,0
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1
A fantastic neighborhood gem !!!,1
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0
Will be back again!,1
Wow very spicy but delicious.,1
Always a pleasure dealing with him.,1
We loved the biscuits!!!,1
I can take a little bad service but the food sucks.,0
"It lacked flavor, seemed undercooked, and dry.",0
The steak and the shrimp are in my opinion the best entrees at GC.,1
Damn good steak.,1
I miss it and wish they had one in Philadelphia!,1
The WORST EXPERIENCE EVER.,0
say bye bye to your tip lady!,0
Thoroughly disappointed!,0
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0
Pretty cool I would say.,1
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1
I had the chicken Pho and it tasted very bland.,0
